Date,活跃地址,Value,总市值
2018/4/23,396697,1.50199E+11,150.1989759
2018/4/22,437087,1.49649E+11,149.6487247
2018/4/21,509922,1.50404E+11,150.4044754
2018/4/20,499809,1.40229E+11,140.2289504
2018/4/19,451616,1.38687E+11,138.6871776
2018/4/18,451452,1.34093E+11,134.0933924
2018/4/17,433711,1.36597E+11,136.597254
2018/4/16,408544,1.41625E+11,141.6251769
2018/4/15,363642,1.36443E+11,136.4428801
2018/4/14,503405,1.34034E+11,134.0337349
2018/4/13,442157,1.3321E+11,133.2101058
2018/4/12,399072,1.17554E+11,117.55381
2018/4/11,414048,1.15186E+11,115.1861942
2018/4/10,384889,1.13674E+11,113.6740236
2018/4/9,311299,1.19063E+11,119.0634929
2018/4/8,331188,1.17523E+11,117.5231178
2018/4/7,471570,1.12015E+11,112.0150386
2018/4/6,398397,1.1578E+11,115.7795722
2018/4/5,432977,1.15109E+11,115.1091532
2018/4/4,435410,1.25655E+11,125.6550411
2018/4/3,377673,1.19289E+11,119.2890267
2018/4/2,316428,1.15177E+11,115.1771499
2018/4/1,332752,1.1756E+11,117.559767
2018/3/31,449629,1.16651E+11,116.6512549
2018/3/30,428777,1.21548E+11,121.547643
2018/3/29,395195,1.34888E+11,134.8883406
2018/3/28,414090,1.33449E+11,133.4485378
2018/3/27,416731,1.38878E+11,138.8777404
2018/3/26,318932,1.45973E+11,145.9726969
2018/3/25,360666,1.46722E+11,146.72174
2018/3/24,430896,1.47119E+11,147.118902
2018/3/23,418187,1.47165E+11,147.1651128
2018/3/22,424455,1.51507E+11,151.5070504
2018/3/21,423962,1.52154E+11,152.1536411
2018/3/20,421647,1.42407E+11,142.4066814
2018/3/19,382257,1.38317E+11,138.3174396
2018/3/18,352698,1.35294E+11,135.2937427
2018/3/17,457060,1.44362E+11,144.362019
2018/3/16,459149,1.4143E+11,141.4301797
2018/3/15,418368,1.3792E+11,137.9197381
2018/3/14,419994,1.54876E+11,154.8763538
2018/3/13,426764,1.55334E+11,155.3343378
2018/3/12,349040,1.65101E+11,165.1013348
2018/3/11,354482,1.47911E+11,147.9105273
2018/3/10,487166,1.537E+11,153.7000375
2018/3/9,439933,1.59429E+11,159.4294237
2018/3/8,474916,1.71058E+11,171.0577857
2018/3/7,453773,1.81944E+11,181.9435263
2018/3/6,457316,1.95991E+11,195.9910059
2018/3/5,383191,1.93175E+11,193.1747851
2018/3/4,416966,1.91409E+11,191.4091443
2018/3/3,524246,1.86803E+11,186.8025052
2018/3/2,514904,1.85996E+11,185.9964848
2018/3/1,469400,1.75176E+11,175.1759382
2018/2/28,494787,1.81806E+11,181.8058914
2018/2/27,435989,1.74771E+11,174.7709645
2018/2/26,355805,1.63742E+11,163.742493
2018/2/25,355221,1.63745E+11,163.7447744
2018/2/24,424502,1.71563E+11,171.5634589
2018/2/23,499533,1.67644E+11,167.6444346
2018/2/22,459675,1.77782E+11,177.7823322
2018/2/21,455116,1.92234E+11,192.2336468
2018/2/20,436341,1.87498E+11,187.4982288
2018/2/19,378869,1.77223E+11,177.2225467
2018/2/18,401860,1.82915E+11,182.9153769
2018/2/17,422415,1.70837E+11,170.8366092
2018/2/16,475029,1.68287E+11,168.2865272
2018/2/15,450367,1.57434E+11,157.4337252
2018/2/14,414749,1.44987E+11,144.9868402
2018/2/13,437380,1.4857E+11,148.5703729
2018/2/12,368624,1.40664E+11,140.6638722
2018/2/11,421547,1.40251E+11,140.2506552
2018/2/10,462086,1.43871E+11,143.8705079
2018/2/9,398607,1.38885E+11,138.8845629
2018/2/8,489402,1.36502E+11,136.5020166
2018/2/7,589896,1.29506E+11,129.5061881
2018/2/6,486553,1.15222E+11,115.2224348
2018/2/5,396694,1.41517E+11,141.5172168
2018/2/4,436196,1.52885E+11,152.8854141
2018/2/3,551198,1.49924E+11,149.9239362
2018/2/2,591550,1.52959E+11,152.9592318
2018/2/1,481100,1.70482E+11,170.4818104
2018/1/31,531440,1.71461E+11,171.4611536
2018/1/30,532630,1.88755E+11,188.755376
2018/1/29,492738,1.98044E+11,198.0438134
2018/1/28,541699,1.93966E+11,193.9655928
2018/1/27,514621,1.84604E+11,184.6038863
2018/1/26,539581,1.88699E+11,188.6987934
2018/1/25,576212,1.89818E+11,189.8176502
2018/1/24,547568,1.88797E+11,188.7970481
2018/1/23,574420,1.7736E+11,177.3603235
2018/1/22,522861,1.93494E+11,193.4942054
2018/1/21,559711,2.17775E+11,217.7753604
2018/1/20,578406,1.9205E+11,192.0497671
2018/1/19,744189,1.90731E+11,190.7314571
2018/1/18,768381,1.86866E+11,186.8664241
2018/1/17,737398,1.8792E+11,187.9197378
2018/1/16,670839,2.35476E+11,235.4760047
2018/1/15,592041,2.32773E+11,232.7733853
2018/1/14,652049,2.43614E+11,243.614498
2018/1/13,747265,2.33728E+11,233.7280699
2018/1/12,822010,2.23349E+11,223.3485758
2018/1/11,876989,2.54044E+11,254.0442675
2018/1/10,919149,2.47092E+11,247.091858
2018/1/9,895996,2.56324E+11,256.3243049
2018/1/8,910004,2.79554E+11,279.5542728
2018/1/7,889098,2.90729E+11,290.7293667
2018/1/6,888402,2.88258E+11,288.2579438
2018/1/5,1054711,2.55085E+11,255.0854552
2018/1/4,937530,2.52602E+11,252.6020101
2018/1/3,850801,2.51777E+11,251.7770791
2018/1/2,593282,2.31719E+11,231.719459
2018/1/1,678712,2.3762E+11,237.6204378
2017/12/31,815099,2.21658E+11,221.6577193
2017/12/30,838925,2.45524E+11,245.5242979
2017/12/29,741488,2.41142E+11,241.1416825
2017/12/28,749191,2.61381E+11,261.3814796
2017/12/27,605853,2.6822E+11,268.2200455
