Date,Value
2018/4/23,8838.548333
2018/4/22,8807.205
2018/4/21,8852.718333
2018/4/20,8254.625
2018/4/19,8164.937426
2018/4/18,7895.416926
2018/4/17,8043.803333
2018/4/16,8340.748333
2018/4/15,8036.511051
2018/4/14,7895.408333
2018/4/13,7847.845
2018/4/12,6926.266667
2018/4/11,6787.571667
2018/4/10,6699.273333
2018/4/9,7017.656667
2018/4/8,6927.688
2018/4/7,6603.876667
2018/4/6,6826.51
2018/4/5,6787.761667
2018/4/4,7410.435
2018/4/3,7035.848333
2018/4/2,6794.105
2018/4/1,6935.48
2018/3/31,6882.531667
2018/3/30,7172.28
2018/3/29,7960.38
2018/3/28,7876.195
2018/3/27,8197.548333
2018/3/26,8617.296667
2018/3/25,8662.378333
2018/3/24,8686.826667
2018/3/23,8690.408333
2018/3/22,8947.753333
2018/3/21,8986.948333
2018/3/20,8412.033333
2018/3/19,8171.415
2018/3/18,7993.674644
2018/3/17,8530.402
2018/3/16,8358.121667
2018/3/15,8151.531667
2018/3/14,9154.7
2018/3/13,9182.843333
2018/3/12,9761.396667
2018/3/11,8746.002
2018/3/10,9089.278333
2018/3/9,9429.111667
2018/3/8,10118.058
2018/3/7,10763.19833
2018/3/6,11595.54
2018/3/5,11430.18167
2018/3/4,11326.94833
2018/3/3,11055.815
2018/3/2,11009.38167
2018/3/1,10370.165
2018/2/28,10763.88333
2018/2/27,10348.60333
2018/2/26,9696.593333
2018/2/25,9697.956
2018/2/24,10162.11667
2018/2/23,9931.071667
2018/2/22,10532.79167
2018/2/21,11390.39167
2018/2/20,11110.965
2018/2/19,10503.29833
2018/2/18,10841.99167
2018/2/17,10127.16167
2018/2/16,9977.154
2018/2/15,9334.633333
2018/2/14,8597.7675
2018/2/13,8811.343333
2018/2/12,8343.455
2018/2/11,8319.876566
2018/2/10,8535.516667
2018/2/9,8240.536667
2018/2/8,8099.958333
2018/2/7,7685.633333
2018/2/6,6838.816667
2018/2/5,8400.648333
2018/2/4,9076.678333
2018/2/3,8901.901667
2018/2/2,9083.258333
2018/2/1,10125.01333
2018/1/31,10184.06167
2018/1/30,11212.655
2018/1/29,11765.71
2018/1/28,11524.77667
2018/1/27,10969.815
2018/1/26,11214.44
2018/1/25,11282.25833
2018/1/24,11223.064
2018/1/23,10544.59333
2018/1/22,11505.228
2018/1/21,12950.79333
2018/1/20,11422.44
2018/1/19,11345.42333
2018/1/18,11116.94667
2018/1/17,11180.99833
2018/1/16,14012.196
2018/1/15,13852.92
2018/1/14,14499.77333
2018/1/13,13912.882
2018/1/12,13296.794
2018/1/11,15126.39833
2018/1/10,14714.25333
2018/1/9,15265.90667
2018/1/8,16651.47167
2018/1/7,17319.198
2018/1/6,17174.12
2018/1/5,15199.355
2018/1/4,15053.26167
2018/1/3,15005.85667
2018/1/2,13812.18667
2018/1/1,14165.575
2017/12/31,13215.574
2017/12/30,14640.14
2017/12/29,14380.58167
2017/12/28,15589.32167
2017/12/27,15999.04833
2017/12/26,14119.02833
2017/12/25,13949.175
2017/12/24,15360.26167
2017/12/23,15190.945
2017/12/22,16047.51
2017/12/21,16026.27167
2017/12/20,17737.11167
2017/12/19,18961.85667
2017/12/18,19289.785
2017/12/17,19498.68333
2017/12/16,17771.9
2017/12/15,16678.892
2017/12/14,16808.36667
2017/12/13,17276.39333
2017/12/12,16762.11667
2017/12/11,14869.805
2017/12/10,15142.83415
2017/12/9,16007.43667
2017/12/8,16501.97167
2017/12/7,13540.98
2017/12/6,11878.43333
2017/12/5,11584.83
2017/12/4,11332.622
2017/12/3,11071.36833
2017/12/2,10883.912
2017/12/1,10147.372
2017/11/30,9879.328333
2017/11/29,9952.50882
2017/11/28,9718.29505
2017/11/27,9284.1438
2017/11/26,8707.407267
2017/11/25,8250.978333
2017/11/24,8148.95
2017/11/23,8268.035
2017/11/22,8059.8
2017/11/21,8255.596817
2017/11/20,8007.654067
2017/11/19,7817.140383
2017/11/18,7786.884367
2017/11/17,7815.0307
2017/11/16,7301.42992
2017/11/15,6635.412633
2017/11/14,6550.227533
2017/11/13,5716.301583
2017/11/12,6362.851033
2017/11/11,6719.39785
2017/11/10,7158.03706
2017/11/9,7415.87825
2017/11/8,7092.127233
2017/11/7,6989.071667
2017/11/6,7377.012367
2017/11/5,7437.543317
2017/11/4,7197.72006
2017/11/3,7068.0201
2017/11/2,6665.306683
2017/11/1,6388.645167
2017/10/31,6105.87422
2017/10/30,6155.43402
2017/10/29,5776.69695
2017/10/28,5772.504983
2017/10/27,5893.138417
2017/10/26,5669.622533
2017/10/25,5505.827767
2017/10/24,5876.079867
2017/10/23,5983.18455
2017/10/22,6020.371683
2017/10/21,5979.45984
2017/10/20,5727.6335
2017/10/19,5546.1761
2017/10/18,5603.71294
2017/10/17,5711.205867
2017/10/16,5647.311667
2017/10/15,5739.438733
2017/10/14,5563.806567
2017/10/13,5325.130683
2017/10/12,4819.485767
2017/10/11,4782.28
2017/10/10,4777.967817
2017/10/9,4602.280883
2017/10/8,4376.191667
2017/10/7,4345.603333
2017/10/6,4338.852
2017/10/5,4225.175
2017/10/4,4293.3066
2017/10/3,4386.88375
2017/10/2,4360.722967
2017/10/1,4335.368317
2017/9/30,4193.574667
2017/9/29,4201.98905
2017/9/28,4202.554983
2017/9/27,3910.307383
2017/9/26,3942.555
2017/9/25,3703.04065
2017/9/24,3776.3869
2017/9/23,3637.50255
2017/9/22,3658.898183
2017/9/21,3977.561667
2017/9/20,3943.413333
2017/9/19,4093.316667
2017/9/18,3746.060783
2017/9/17,3763.62604
2017/9/16,3774.265283
2017/9/15,3319.63
2017/9/14,3961.271267
2017/9/13,4219.036617
2017/9/12,4248.090017
2017/9/11,4329.955
2017/9/10,4375.55952
2017/9/9,4310.750183
2017/9/8,4654.6585
2017/9/7,4641.822017
2017/9/6,4488.72014
2017/9/5,4344.098317
2017/9/4,4648.159983
2017/9/3,4580.38748
2017/9/2,4911.740017
2017/9/1,4748.255
2017/8/31,4594.98785
2017/8/30,4607.98545
2017/8/29,4391.673517
2017/8/28,4354.308333
2017/8/27,4360.513317
2017/8/26,4363.05445
2017/8/25,4340.316717
2017/8/24,4174.95
2017/8/23,4082.180983
2017/8/22,4043.722
2017/8/21,4157.958033
2017/8/20,4222.662214
2017/8/19,4130.440067
2017/8/18,4328.725717
2017/8/17,4360.876871
2017/8/16,4217.028329
2017/8/15,4282.992
2017/8/14,4125.54802
2017/8/13,3852.802914
2017/8/12,3632.506667
2017/8/11,3424.4042
2017/8/10,3357.326317
2017/8/9,3457.374333
2017/8/8,3407.226833
2017/8/7,3252.562533
2017/8/6,3218.115017
2017/8/5,2873.851083
2017/8/4,2794.117717
2017/8/3,2693.633983
2017/8/2,2710.413067
2017/8/1,2866.431667
2017/7/31,2745.955417
2017/7/30,2722.512786
2017/7/29,2781.636583
2017/7/28,2647.625
2017/7/27,2495.028586
2017/7/26,2560.997917
2017/7/25,2751.821029
2017/7/24,2725.549717
2017/7/23,2807.609857
2017/7/22,2682.195363
2017/7/21,2898.188417
2017/7/20,2264.7657
2017/7/19,2320.12225
2017/7/18,2176.623488
2017/7/17,1931.2143
2017/7/16,2058.9956
2017/7/15,2190.947833
2017/7/14,2354.783417
2017/7/13,2385.748571
2017/7/12,2369.862129
2017/7/11,2366.170143
2017/7/10,2536.238938
2017/7/9,2562.130663
2017/7/8,2491.201214
2017/7/7,2609.96775
2017/7/6,2619.187503
2017/7/5,2599.729838
2017/7/4,2561.225429
2017/7/3,2501.191343
2017/7/2,2434.077863
2017/7/1,2477.641375
2017/6/30,2544.414475
2017/6/29,2585.349186
2017/6/28,2517.903114
2017/6/27,2436.451057
2017/6/26,2512.366286
2017/6/25,2589.164888
2017/6/24,2710.412286
2017/6/23,2727.288013
2017/6/22,2671.04325
2017/6/21,2754.97825
2017/6/20,2617.210263
2017/6/19,2507.389252
2017/6/18,2665.927
2017/6/17,2464.959814
2017/6/16,2442.48025
2017/6/15,2447.041563
2017/6/14,2748.185086
2017/6/13,2657.675063
2017/6/12,2961.829613
2017/6/11,2845.372857
2017/6/10,2827.4913
2017/6/9,2792.999188
2017/6/8,2664.920863
2017/6/7,2883.313697
2017/6/6,2698.313813
2017/6/5,2516.173143
2017/6/4,2525.765158
2017/6/3,2446.142414
2017/6/2,2399.242671
2017/6/1,2285.933914
2017/5/31,2239.205343
2017/5/30,2275.9307
2017/5/29,2192.9808
2017/5/28,2014.052963
2017/5/27,2211.976857
2017/5/26,2387.206286
2017/5/25,2379.193833
2017/5/24,2287.710288
2017/5/23,2090.662313
2017/5/22,2046.534463
2017/5/21,2052.909788
2017/5/20,1961.520488
2017/5/19,1899.082888
2017/5/18,1807.485063
2017/5/17,1739.031975
2017/5/16,1723.126938
2017/5/15,1776.3165
2017/5/14,1771.920013
2017/5/13,1720.4785
2017/5/12,1820.990563
2017/5/11,1762.88625
2017/5/10,1721.284971
2017/5/9,1640.619225
2017/5/8,1535.868429
2017/5/7,1560.4102
2017/5/6,1533.335071
2017/5/5,1508.292125
2017/5/4,1507.576857
2017/5/3,1452.076288
2017/5/2,1417.172813
2017/5/1,1353.0045
2017/4/30,1334.979038
2017/4/29,1331.294429
2017/4/28,1345.353913
2017/4/27,1309.109875
2017/4/26,1279.414688
2017/4/25,1262.902775
2017/4/24,1257.988113
2017/4/23,1261.311225
2017/4/22,1258.361413
2017/4/21,1241.686325
2017/4/20,1217.930088
2017/4/19,1216.186743
2017/4/18,1205.634875
2017/4/17,1186.927413
2017/4/16,1184.880671
2017/4/15,1185.260057
2017/4/14,1180.023713
2017/4/13,1218.92205
2017/4/12,1226.617038
2017/4/11,1207.744875
2017/4/10,1208.8005
2017/4/9,1181.149838
2017/4/8,1190.45425
2017/4/7,1196.307938
2017/4/6,1133.079314
2017/4/5,1141.600363
2017/4/4,1141.813
2017/4/3,1099.169125
2017/4/2,1086.929571
2017/4/1,1079.549314
2017/3/31,1037.90455
2017/3/30,1040.5755
2017/3/29,1046.127625
2017/3/28,1037.22925
2017/3/27,956.7863125
2017/3/26,959.3400857
2017/3/25,941.9197143
2017/3/24,1038.789
2017/3/23,1028.726863
2017/3/22,1118.630043
2017/3/21,1049.084488
2017/3/20,1029.800813
2017/3/19,952.2323625
2017/3/18,1091.171888
2017/3/17,1180.945657
2017/3/16,1257.399625
2017/3/15,1245.370786
2017/3/14,1239.816225
2017/3/13,1227.494625
2017/3/12,1179.159875
2017/3/11,1098.617129
2017/3/10,1192.469143
2017/3/9,1157.3933
2017/3/8,1238.447
2017/3/7,1275.197375
2017/3/6,1270.9333
2017/3/5,1267.0272
2017/3/4,1285.14
2017/3/3,1259.410817
2017/3/2,1222.4994
2017/3/1,1187.565286
2017/2/28,1190.75195
2017/2/27,1175.04975
2017/2/26,1150.605714
2017/2/25,1174.86625
2017/2/24,1172.01715
2017/2/23,1123.223188
2017/2/22,1123.788429
2017/2/21,1084.755013
2017/2/20,1052.779286
2017/2/19,1056.637138
2017/2/18,1055.53685
2017/2/17,1035.208125
2017/2/16,1012.325988
2017/2/15,1011.78025
2017/2/14,999.877375
2017/2/13,1000.604625
2017/2/12,1008.846663
2017/2/11,999.1035
2017/2/10,976.103
2017/2/9,1052.376613
2017/2/8,1050.11
2017/2/7,1024.01375
2017/2/6,1014.837725
2017/2/5,1030.999413
2017/2/4,1013.027
2017/2/3,1007.613713
2017/2/2,979.703875
2017/2/1,964.706075
2017/1/31,921.179325
2017/1/30,915.933
2017/1/29,920.31225
2017/1/28,919.27975
2017/1/27,915.95625
2017/1/26,893.045625
2017/1/25,890.320225
2017/1/24,922.0736125
2017/1/23,918.603625
2017/1/22,920.4479
2017/1/21,893.6210875
2017/1/20,895.798875
2017/1/19,874.99
2017/1/18,903.84
2017/1/17,830.5
2017/1/16,822.2
2017/1/15,817.91
2017/1/14,826.29
2017/1/13,803.37
2017/1/12,785.22
2017/1/11,906.05
2017/1/10,894.18
2017/1/9,908.14
2017/1/8,896.83
2017/1/7,883.09
2017/1/6,994.67
2017/1/5,1126.76
2017/1/4,1023.14
2017/1/3,1015.97
2017/1/2,997.72
2017/1/1,959.87
2016/12/31,952.15
2016/12/30,963.38
2016/12/29,967.48
2016/12/28,930.37
2016/12/27,897.33
2016/12/26,886.9
2016/12/25,891.61
2016/12/24,901.31
2016/12/23,860.59
2016/12/22,824.21
2016/12/21,793.09
2016/12/20,789.52
2016/12/19,788.4
2016/12/18,788.7
2016/12/17,781.56
2016/12/16,776.75
2016/12/15,774.89
2016/12/14,778.49
2016/12/13,777
2016/12/12,777
2016/12/11,773.4
2016/12/10,770.02
2016/12/9,769.72
2016/12/8,766.11
2016/12/7,756.62
2016/12/6,754.63
2016/12/5,764.81
2016/12/4,764.33
2016/12/3,772.43
2016/12/2,752.24
2016/12/1,742.69
2016/11/30,732.71
2016/11/29,733.05
2016/11/28,727.96
2016/11/27,733.67
2016/11/26,739.78
2016/11/25,737.45
2016/11/24,741.63
2016/11/23,748.74
2016/11/22,738.53
2016/11/21,729.06
2016/11/20,750.03
2016/11/19,747.52
2016/11/18,736.96
2016/11/17,736.91
2016/11/16,710.91
2016/11/15,706.46
2016/11/14,701.9
2016/11/13,703.71
2016/11/12,715.45
2016/11/11,713.69
2016/11/10,720.93
2016/11/9,708.97
2016/11/8,703.81
2016/11/7,712
2016/11/6,704.79
2016/11/5,703.69
2016/11/4,686.17
2016/11/3,733.33
2016/11/2,728.2
2016/11/1,702
2016/10/31,698
2016/10/30,714.89
2016/10/29,687.68
2016/10/28,682.22
2016/10/27,672.22
2016/10/26,655.31
2016/10/25,651.39
2016/10/24,653
2016/10/23,655.48
2016/10/22,631.92
2016/10/21,630.22
2016/10/20,629.25
2016/10/19,636.29
2016/10/18,638.18
2016/10/17,641.42
2016/10/16,637.94
2016/10/15,639.56
2016/10/14,635.96
2016/10/13,635.01
2016/10/12,639.3
2016/10/11,617.54
2016/10/10,615.65
2016/10/9,618.04
2016/10/8,617.21
2016/10/7,612.08
2016/10/6,612.35
2016/10/5,609.62
2016/10/4,611.85
2016/10/3,610.51
2016/10/2,614.82
2016/10/1,609.39
2016/9/30,606.36
2016/9/29,605.67
2016/9/28,605.96
2016/9/27,608.14
2016/9/26,601.74
2016/9/25,603.88
2016/9/24,604.22
2016/9/23,597.42
2016/9/22,598.88
2016/9/21,609.74
2016/9/20,610.19
2016/9/19,611.58
2016/9/18,608
2016/9/17,609.11
2016/9/16,610.38
2016/9/15,612.08
2016/9/14,610.92
2016/9/13,609.67
2016/9/12,608.15
2016/9/11,625.76
2016/9/10,625.07
2016/9/9,627.77
2016/9/8,614.46
2016/9/7,611.09
2016/9/6,608.1
2016/9/5,610.59
2016/9/4,600.88
2016/9/3,576.21
2016/9/2,572.81
2016/9/1,574.82
2016/8/31,578.61
2016/8/30,575.22
2016/8/29,576.53
2016/8/28,571.54
2016/8/27,581.07
2016/8/26,579.86
2016/8/25,582.84
2016/8/24,586.18
2016/8/23,588.97
2016/8/22,582.82
2016/8/21,583.2
2016/8/20,576.65
2016/8/19,576.03
2016/8/18,575.51
2016/8/17,581.11
2016/8/16,570.14
2016/8/15,570.97
2016/8/14,586.43
2016/8/13,587.75
2016/8/12,589.24
2016/8/11,592.18
2016/8/10,588.77
2016/8/9,592.69
2016/8/8,594.27
2016/8/7,588.23
2016/8/6,576.55
2016/8/5,577.31
2016/8/4,565.05
2016/8/3,515.06
2016/8/2,606.32
2016/8/1,628.01
2016/7/31,654.73
2016/7/30,656.88
2016/7/29,655.32
2016/7/28,654.98
2016/7/27,655.06
2016/7/26,654.69
2016/7/25,661.41
2016/7/24,655.84
2016/7/23,651.58
2016/7/22,664.88
